time	temperature	heat_index	dewpoint	wind_direction	wind_speed	wind_gust	humidity	pressure
20210124 00:00	-1.6		-2.3	90.0	3.6	5.8	95.0	995.3
20210124 00:05	-1.5		-2.2	112.0	3.1	4.9	95.0	995.5
20210124 00:10	-1.4		-2.1	135.0	2.7	6.3	95.0	995.6
20210124 00:15	-1.3		-1.8	135.0	2.7	6.3	96.0	995.6
20210124 00:20	-1.2		-1.7	135.0	3.1	4.5	96.0	995.5
20210124 00:25	-1.1		-1.7	135.0	2.7	5.4	96.0	995.6
20210124 00:30	-1.0		-1.6	135.0	2.7	5.8	96.0	995.6
20210124 00:35	-0.9		-1.5	135.0	2.7	5.8	96.0	995.6
20210124 00:40	-0.9		-1.4	135.0	3.6	5.8	96.0	995.4
20210124 00:45	-0.8		-1.4	135.0	3.1	5.4	96.0	995.1
20210124 00:50	-0.8		-1.3	112.0	3.1	4.9	96.0	994.9
20210124 00:55	-0.7		-1.3	135.0	3.1	4.5	96.0	995.0
20210124 01:05	-0.6		-1.2	112.0	3.1	5.4	96.0	994.7
20210124 01:10	-0.6		-1.2	112.0	2.7	4.9	96.0	994.6
20210124 01:15	-0.6		-1.1	135.0	3.1	4.5	96.0	994.5
20210124 01:20	-0.4		-1.0	135.0	3.1	4.9	96.0	994.5
20210124 01:25	-0.3		-0.9	135.0	3.6	6.7	96.0	994.6
20210124 01:30	-0.3		-0.8	135.0	3.1	5.4	96.0	994.5
20210124 01:35	-0.3		-0.8	135.0	3.1	6.3	96.0	994.4
20210124 01:40	-0.2		-0.8	135.0	3.1	5.8	96.0	994.3
20210124 01:45	-0.2		-0.7	135.0	3.1	5.4	96.0	994.3
20210124 01:50	-0.2		-0.7	135.0	3.1	5.8	96.0	994.4
20210124 01:55	-0.1		-0.7	135.0	3.6	5.4	96.0	994.4
20210124 02:00	-0.1		-0.6	135.0	4.0	5.8	96.0	994.3
20210124 02:05	-0.1		-0.6	135.0	3.1	5.4	96.0	994.2
20210124 02:15	0		-0.7	135.0	4.0	5.8	95.0	994.2
20210124 02:20	0		-0.6	135.0	3.1	5.8	96.0	994.2
20210124 02:25	0.1		-0.5	135.0	4.0	5.8	96.0	994.0
20210124 02:30	0.1		-0.5	135.0	3.6	5.8	96.0	993.9
20210124 02:35	0.1		-0.4	135.0	3.1	5.4	96.0	993.9
20210124 02:40	0.2		-0.4	135.0	3.1	5.4	96.0	993.9
20210124 02:45	0.2		-0.4	112.0	3.6	5.4	96.0	993.7
20210124 02:50	0.2		-0.4	135.0	2.2	4.5	96.0	993.7
20210124 02:55	0.2		-0.3	135.0	3.1	4.9	96.0	993.6
20210124 03:00	0.2		-0.3	135.0	3.1	4.9	96.0	993.6
20210124 03:05	0.3		-0.3	135.0	3.1	5.4	96.0	993.7
20210124 03:10	0.3		-0.2	135.0	3.1	5.4	96.0	993.7
20210124 03:15	0.4		-0.2	135.0	3.1	6.3	96.0	993.7
20210124 03:20	0.4		-0.2	135.0	3.1	5.4	96.0	993.7
20210124 03:25	0.4		-0.1	135.0	3.1	4.9	96.0	993.7
20210124 03:30	0.4		-0.1	135.0	3.1	4.9	96.0	993.6
20210124 03:35	0.5		-0.2	135.0	3.1	5.4	95.0	993.5
20210124 03:40	0.5		-0.2	135.0	3.1	4.9	95.0	993.5
20210124 03:45	0.6		-0.1	135.0	3.6	5.8	95.0	993.4
20210124 03:50	0.6		0	135.0	3.1	4.9	96.0	993.5
20210124 03:55	0.6		0	135.0	2.7	4.5	96.0	993.4
20210124 04:00	0.7		0	135.0	2.7	4.9	95.0	993.4
20210124 04:05	0.7		0	158.0	2.2	4.5	95.0	993.5
20210124 04:10	0.7		0	135.0	2.2	4.5	95.0	993.4
20210124 04:15	0.7		0	135.0	2.2	4.5	95.0	993.3
20210124 04:25	0.7		0	135.0	2.2	4.0	95.0	993.2
20210124 04:30	0.7		0	135.0	2.2	4.5	95.0	993.2
20210124 04:35	0.8		0.1	135.0	2.2	3.6	95.0	993.2
20210124 04:40	0.8		0.1	135.0	1.8	2.7	95.0	993.2
20210124 04:45	0.8		0.1	135.0	1.8	3.1	95.0	993.0
20210124 04:50	0.9		0.2	135.0	2.2	4.5	95.0	992.9
20210124 04:55	0.9		0.2	135.0	2.7	4.0	95.0	992.9
20210124 05:00	1.1		0.3	135.0	3.1	5.8	95.0	992.9
20210124 05:05	1.1		0.4	135.0	3.1	4.5	95.0	992.9
20210124 05:10	1.2		0.5	135.0	3.1	5.4	95.0	992.9
20210124 05:15	1.2		0.5	135.0	2.7	4.0	95.0	992.8
20210124 05:25	1.1		0.3	135.0	2.7	4.0	94.0	992.7
20210124 05:30	1.1		0.3	135.0	3.1	4.9	94.0	992.5
20210124 05:35	1.1		0.3	135.0	2.2	4.5	94.0	992.6
20210124 05:40	1.2		0.3	135.0	2.7	4.5	94.0	992.6
20210124 05:45	1.2		0.3	158.0	2.2	4.0	94.0	992.6
